Data,and,so,for,but,with,if,as,or,because,then,when,also,next,still,before,after
News,0.026445993031358885,0.009843205574912892,0.0077852787456445995,0.006210801393728223,0.005468205574912892,0.003998257839721254,0.0038153310104529618,0.0036520034843205576,0.002663327526132404,0.002188588850174216,0.002066637630662021,0.0014155052264808363,0.0008536585365853659,0.0007774390243902439,0.0006816202090592334,0.0
Discussion,0.028152275062274836,0.009417453898467465,0.006250992137845828,0.007258375738255299,0.005088125116670755,0.003068702723613323,0.003171582472083976,0.0029048399568184368,0.0044140532805372465,0.002295009773576105,0.003454152640960385,0.000931503966922066,0.0,0.00099202146602245,0.0007322617391146476,0.0006326406252109384
Science/Education,0.027900800795604502,0.009059836999434443,0.007244317793727511,0.005735483359789733,0.005352981194554262,0.0032580988003092803,0.003908352481209581,0.003826387731516266,0.002477384559480453,0.0022041687271694022,0.00278611844999194,0.0012253730079150626,0.0007499774596938343,0.0007861785574750486,0.0,0.0009521571756040119
Documentary,0.025570177709153714,0.0023781769821179678,0.008136251592569834,0.005982279337412121,0.006277732354887129,0.0020140527399553363,0.005835386585265747,0.002654226209835766,0.0,0.0012363852285921814,0.002403113883798131,0.0011774158987831625,0.0008898456708970213,0.000953969132360299,0.0010561422128006043,0.0018920968894891262
