Data,and,so,for,but,with,if,as,or,because,then,when,also,next,still,before,after
"Δ (News, Discussion)",0.0017062820309159503,0.0004257516764454277,0.0015342866077987715,0.001047574344527076,0.0003800804582421366,0.0009295551161079313,0.0006437485383689857,0.0007471635275021209,0.0017507257544048423,0.00010642092340188867,0.001387515010298364,0.00048400125955877027,0.0008536585365853659,0.00021458244163220612,5.06415300554142e-05,0.0006326406252109384
"Δ (News, Science/Education)",0.0014548077642456171,0.0007833685754784492,0.0005409609519170886,0.0004753180339384898,0.00011522438035862972,0.0007401590394119739,9.302147075661944e-05,0.00017438424719570843,0.00018594296665195133,1.5579876995186048e-05,0.0007194808193299192,0.00019013221856577374,0.00010368107689153155,8.73953308480461e-06,0.0006816202090592334,0.0009521571756040119
"Δ (News, Documentary)",0.0008758153222051708,0.0074650285927949245,0.00035097284692523455,0.00022852205631610206,0.0008095267799742368,0.001984205099765918,0.0020200555748127852,0.0009977772744847917,0.002663327526132404,0.0009522036215820347,0.0003364762531361102,0.00023808932769767382,3.6187134311655464e-05,0.00017653010797005503,0.0003745220037413709,0.0018920968894891262
"Δ (Discussion, Science/Education)",0.0002514742666703332,0.0003576168990330215,0.000993325655881683,0.0015228923784655658,0.0002648560778835069,0.0001893960766959574,0.0007367700091256051,0.0009215477746978293,0.0019366687210567936,9.084104640670262e-05,0.0006680341909684447,0.00029386904099299653,0.0007499774596938343,0.0002058429085474015,0.0007322617391146476,0.0003195165503930735
"Δ (Discussion, Documentary)",0.002582097353121121,0.007039276916349497,0.001885259454724006,0.001276096400843178,0.0011896072382163734,0.0010546499836579866,0.002663804113181771,0.0002506137469826708,0.0044140532805372465,0.0010586245449839234,0.0010510387571622537,0.00024591193186109645,0.0008898456708970213,3.8052333662151085e-05,0.0003238804736859567,0.0012594562642781878
"Δ (Science/Education, Documentary)",0.002330623086450788,0.006681660017316475,0.0008919337988423232,0.00024679597762238773,0.0009247511603328665,0.001244046060353944,0.0019270341040561658,0.0011721615216805001,0.002477384559480453,0.0009677834985772208,0.000383004566193809,4.795710913190008e-05,0.00013986821120318702,0.00016779057488525042,0.0010561422128006043,0.0009399397138851143
