Data,and,for,with,but,so,or,as,if,because,then,when,also,next,still,before,after,while
"Δ (News, Discussion)",0.0016848693600912575,0.001275388808184382,0.0003545944232454688,0.0008983879654015673,0.00070717952075568,0.0004916897849947233,0.000473684431035422,0.00032694682495395134,0.001373800714615154,0.0001235478085234048,0.0010339144422104945,0.0002446253279313272,0.0005945121951219512,0.0001193261665437715,8.059409427098091e-05,0.0004794848005645817,0.0
"Δ (News, Science/Education)",0.0011531961261669575,0.000551946245365695,0.00021806124293764426,0.0001827430392626287,0.0004362097935652568,0.00020684412061947825,6.694958816616352e-05,0.0005021485545497353,0.00016039535858849768,2.4060485720441092e-05,0.00048397134220095456,0.00012468659073925704,0.0005945121951219512,2.8609808970060397e-05,1.2180095080442416e-05,0.0006960173328124018,0.0
"Δ (News, Documentary)",6.405782970656318e-05,9.48548605307414e-05,0.0005508078104002907,0.0001566998394689498,0.0019329563860318822,0.0007546915333177294,0.0016004230632535505,0.0011428872214118589,0.002219076655052265,0.0007135240610015588,0.0002887888701366781,0.00024455570395169883,0.0005945121951219512,9.0900029268184e-05,0.0003257899627867073,0.0014051072442154157,0.0006703402992685908
"Δ (Discussion, Science/Education)",0.0005316732339242999,0.000723442562818687,0.00013653318030782454,0.001081131004664196,0.0011433893143209368,0.0006985339056142016,0.0005406340192015855,0.000175201729595784,0.0015341960732036517,9.948732280296371e-05,0.0005499431000095399,0.00011993873719207018,0.0,0.0001479359755138319,6.841399919053849e-05,0.0002165325322478201,0.0
"Δ (Discussion, Documentary)",0.0017489271897978206,0.0013702436687151234,0.0009054022336457595,0.0007416881259326175,0.002640135906787562,0.0002630017483230061,0.0020741074942889725,0.0008159403964579075,0.003592877369667419,0.0008370718695249636,0.0007451255720738164,6.962397962838578e-08,0.0,2.8426137275587506e-05,0.0002451958685157264,0.000925622443650834,0.0006703402992685908
"Δ (Science/Education, Documentary)",0.0012172539558735207,0.0006468011058964364,0.0007688690533379349,0.0003394428787315785,0.0014967465924666254,0.0009615356539372077,0.001533473475087387,0.0006407386668621235,0.0020586812964637673,0.0007375845467219999,0.00019518247206427647,0.0001198691132124418,0.0,0.0001195098382382444,0.00031360986770626487,0.0007090899114030139,0.0006703402992685908
